Case ID;Activity;Start Date;End Date;Agent Position;Customer ID;Product;Service Type;Resource
Case 313;Call Outbound;11.3.10 15:15;11.3.10 15:16;FL;Customer 267;iPhone;Product Assistance;Mary
Case 321;Call Outbound;26.3.10 13:15;26.3.10 13:18;FL;Customer 274;MacBook Pro;Product Assistance;Jochem
Case 328;Call Outbound;5.3.10 11:31;5.3.10 11:31;FL;Customer 281;MacBook Pro;Product Assistance;Jochem
Case 328;Call Outbound;5.3.10 11:34;5.3.10 11:34;FL;Customer 281;MacBook Pro;Product Assistance;Jochem
Case 332;Call Outbound;20.3.10 15:20;20.3.10 15:20;FL;Customer 285;iPhone;Product Assistance;Jochem
Case 332;Call Outbound;20.3.10 15:25;20.3.10 15:26;FL;Customer 285;iPhone;Product Assistance;Jochem
Case 341;Call Outbound;11.3.10 12:03;11.3.10 12:05;FL;Customer 292;MacBook Pro;Referred to Servicer;Jochem
Case 350;Call Outbound;8.3.10 8:35;8.3.10 8:55;FL;Customer 301;iPhone;Product Assistance;Samuil
Case 350;Call Outbound;9.4.10 13:59;9.4.10 14:06;FL;Customer 301;iPhone;Product Assistance;Jochem
Case 354;Call Outbound;27.3.10 15:59;27.3.10 16:00;FL;Customer 305;iPhone;Product Assistance;Karen
Case 354;Call Outbound;8.4.10 13:08;8.4.10 13:10;FL;Customer 305;iPhone;Product Assistance;Karen
Case 368;Call Outbound;5.3.10 11:21;5.3.10 11:21;FL;Customer 315;MacBook Pro;Product Assistance;Samuil
Case 377;Call Outbound;20.3.10 12:09;20.3.10 12:11;FL;Customer 323;iPhone;Product Assistance;Irena
Case 381;Call Outbound;16.4.10 13:46;16.4.10 13:50;FL;Customer 327;MacBook Pro;Product Assistance;Karen
Case 389;Call Outbound;21.3.10 15:39;21.3.10 15:40;FL;Customer 334;MacBook Pro;Product Assistance;Steffi
Case 390;Call Outbound;19.3.10 15:12;19.3.10 15:12;FL;Customer 254;MacBook Pro;Referred to Servicer;Steffi
Case 400;Call Outbound;6.3.10 12:27;6.3.10 12:30;FL;Customer 342;iPhone;Product Assistance;Jochem
Case 402;Call Outbound;18.3.10 12:34;18.3.10 12:36;FL;Customer 344;iPhone;Product Assistance;Samuil
Case 402;Call Outbound;20.3.10 14:10;20.3.10 14:15;FL;Customer 344;iPhone;Product Assistance;Samuil
Case 402;Call Outbound;22.3.10 14:12;22.3.10 14:12;FL;Customer 344;iPhone;Product Assistance;Samuil
Case 402;Call Outbound;25.3.10 11:31;25.3.10 11:32;FL;Customer 344;iPhone;Product Assistance;Jochem
Case 402;Call Outbound;25.3.10 14:19;25.3.10 14:23;FL;Customer 344;iPhone;Product Assistance;Jochem
Case 404;Call Outbound;15.4.10 13:19;15.4.10 13:24;FL;Customer 345;MacBook Pro;Product Assistance;Karen
Case 430;Call Outbound;26.3.10 11:14;26.3.10 11:16;FL;Customer 218;iPhone;Referred to Servicer;Samuil
Case 430;Call Outbound;27.3.10 12:00;27.3.10 12:08;FL;Customer 218;iPhone;Referred to Servicer;Jochem
Case 430;Call Outbound;28.3.10 14:09;28.3.10 14:11;FL;Customer 218;iPhone;Referred to Servicer;Samuil
Case 444;Call Outbound;4.4.10 13:50;4.4.10 13:52;BL;Customer 378;iPhone;Referred to Servicer;Steve
Case 447;Call Outbound;26.3.10 11:32;26.3.10 11:33;FL;Customer 381;iPhone;Referred to Servicer;Steffi
Case 451;Call Outbound;12.3.10 6:41;12.3.10 6:42;FL;Customer 384;MacBook Pro;Product Assistance;Samuil
Case 454;Call Outbound;13.3.10 13:04;13.3.10 13:05;FL;Customer 387;iPhone;Product Assistance;Richard
Case 454;Call Outbound;13.3.10 13:15;13.3.10 13:15;FL;Customer 387;iPhone;Product Assistance;Richard
Case 462;Call Outbound;8.3.10 7:33;8.3.10 7:44;FL;Customer 391;iPhone;Product Assistance;Samuil
Case 465;Call Outbound;2.4.10 12:21;2.4.10 12:22;FL;Customer 394;iPhone;Product Assistance;Johan
Case 465;Call Outbound;8.4.10 13:04;8.4.10 13:06;FL;Customer 394;iPhone;Product Assistance;Johan
Case 465;Call Outbound;10.4.10 12:20;10.4.10 12:22;FL;Customer 394;iPhone;Product Assistance;Johan
Case 476;Call Outbound;12.3.10 12:49;12.3.10 12:50;FL;Customer 401;MacBook Pro;Product Assistance;Steffi
Case 477;Call Outbound;30.4.10 11:41;30.4.10 11:42;FL;Customer 402;MacBook Pro;Referred to Servicer;Henk
Case 494;Call Outbound;19.3.10 14:30;19.3.10 14:34;FL;Customer 418;iPhone;Product Assistance;Jochem
Case 494;Call Outbound;20.3.10 14:32;20.3.10 14:32;FL;Customer 418;iPhone;Product Assistance;Jochem
Case 511;Call Outbound;2.4.10 14:08;2.4.10 14:08;FL;Customer 432;iPhone;Product Assistance;Clark
Case 511;Call Outbound;15.4.10 11:19;15.4.10 11:22;FL;Customer 432;iPhone;Product Assistance;Clark
Case 517;Call Outbound;14.3.10 15:15;14.3.10 15:16;FL;Customer 438;MacBook Pro;Product Assistance;Clark
Case 537;Call Outbound;21.3.10 14:31;21.3.10 14:34;FL;Customer 454;iPhone;Product Assistance;Mary
Case 542;Call Outbound;6.3.10 10:54;6.3.10 10:54;FL;Customer 459;iPhone;Product Assistance;Mary
Case 556;Call Outbound;27.3.10 16:42;27.3.10 16:45;FL;Customer 469;iPhone;Referred to Servicer;Jochem
Case 556;Call Outbound;27.3.10 17:15;27.3.10 17:18;FL;Customer 469;iPhone;Referred to Servicer;Jochem
Case 564;Call Outbound;22.3.10 14:43;22.3.10 14:43;FL;Customer 475;iPhone;Product Assistance;Mary
Case 601;Call Outbound;6.3.10 10:01;6.3.10 10:02;FL;Customer 506;MacBook Pro;Product Assistance;Jochem
Case 611;Call Outbound;7.3.10 7:40;7.3.10 7:41;FL;Customer 515;MacBook Pro;Product Assistance;Samuil
Case 643;Call Outbound;28.3.10 7:30;28.3.10 7:31;FL;Customer 543;MacBook Pro;Product Assistance;Samuil
Case 643;Call Outbound;28.3.10 7:43;28.3.10 7:43;FL;Customer 543;MacBook Pro;Product Assistance;Samuil
Case 646;Call Outbound;4.4.10 14:19;4.4.10 14:19;FL;Customer 546;iPhone;Product Assistance;David
Case 646;Call Outbound;5.4.10 8:30;5.4.10 8:33;FL;Customer 546;iPhone;Product Assistance;David
Case 659;Call Outbound;21.3.10 11:41;21.3.10 11:43;FL;Customer 557;iPhone;Product Assistance;Jochem
Case 669;Call Outbound;8.3.10 10:33;8.3.10 10:33;FL;Customer 566;MacBook Pro;Product Assistance;Samuil
Case 669;Call Outbound;13.3.10 10:35;13.3.10 10:37;FL;Customer 566;MacBook Pro;Product Assistance;Samuil
Case 669;Call Outbound;14.3.10 11:17;14.3.10 11:31;FL;Customer 566;MacBook Pro;Product Assistance;Samuil
Case 669;Call Outbound;18.3.10 16:23;18.3.10 16:23;FL;Customer 566;MacBook Pro;Product Assistance;Steffi
Case 669;Call Outbound;18.3.10 16:27;18.3.10 16:28;FL;Customer 566;MacBook Pro;Product Assistance;Steffi
Case 688;Call Outbound;7.3.10 13:38;7.3.10 13:40;FL;Customer 584;MacBook Pro;Product Assistance;Jochem
Case 699;Call Outbound;5.3.10 13:56;5.3.10 13:58;FL;Customer 595;iPhone;Product Assistance;Jochem
Case 699;Call Outbound;6.3.10 13:15;6.3.10 13:20;FL;Customer 595;iPhone;Product Assistance;Jochem
Case 702;Call Outbound;17.4.10 14:15;17.4.10 14:17;FL;Customer 597;MacBook Pro;Product Assistance;Karen
Case 704;Call Outbound;4.4.10 14:13;4.4.10 14:15;FL;Customer 599;iPhone;Referred to Servicer;David
Case 728;Call Outbound;2.4.10 14:03;2.4.10 14:04;FL;Customer 616;MacBook Pro;Referred to Servicer;Monique
Case 734;Call Outbound;28.3.10 12:17;28.3.10 12:27;FL;Customer 619;MacBook Pro;Product Assistance;Jochem
Case 734;Call Outbound;28.3.10 12:32;28.3.10 12:32;FL;Customer 619;MacBook Pro;Product Assistance;Jochem
Case 734;Call Outbound;4.4.10 13:27;4.4.10 13:30;FL;Customer 619;MacBook Pro;Product Assistance;Jochem
Case 734;Call Outbound;4.4.10 13:40;4.4.10 13:40;FL;Customer 619;MacBook Pro;Product Assistance;Jochem
Case 734;Call Outbound;5.4.10 13:16;5.4.10 13:18;FL;Customer 619;MacBook Pro;Product Assistance;Jochem
Case 736;Call Outbound;1.4.10 13:45;1.4.10 13:46;FL;Customer 621;iPhone;Referred to Servicer;Mary
Case 736;Call Outbound;1.4.10 13:50;1.4.10 13:50;FL;Customer 621;iPhone;Referred to Servicer;Mary
Case 743;Call Outbound;7.3.10 13:15;7.3.10 13:16;FL;Customer 627;iPhone;Product Assistance;Samuil
Case 743;Call Outbound;8.3.10 12:33;8.3.10 12:33;FL;Customer 627;iPhone;Product Assistance;Samuil
Case 743;Call Outbound;12.3.10 11:48;12.3.10 11:50;FL;Customer 627;iPhone;Product Assistance;Samuil
Case 743;Call Outbound;12.3.10 11:52;12.3.10 11:52;FL;Customer 627;iPhone;Product Assistance;Samuil
Case 743;Call Outbound;25.4.10 14:14;25.4.10 14:16;FL;Customer 627;iPhone;Product Assistance;Karen
Case 744;Call Outbound;27.3.10 17:18;27.3.10 17:19;FL;Customer 628;MacBook Pro;Referred to Servicer;Monique
Case 744;Call Outbound;11.4.10 12:38;11.4.10 12:39;FL;Customer 628;MacBook Pro;Referred to Servicer;Monique
Case 756;Call Outbound;8.3.10 12:19;8.3.10 12:20;FL;Customer 638;iPhone;Referred to Servicer;Mary
Case 771;Call Outbound;18.3.10 9:00;18.3.10 9:00;FL;Customer 649;iPhone;Product Assistance;Susi
Case 777;Call Outbound;7.3.10 11:47;7.3.10 11:52;FL;Customer 654;iPhone;Product Assistance;Samuil
Case 777;Call Outbound;7.3.10 12:32;7.3.10 12:32;FL;Customer 654;iPhone;Product Assistance;Samuil
Case 777;Call Outbound;8.3.10 9:52;8.3.10 9:58;FL;Customer 654;iPhone;Product Assistance;Mary
Case 777;Call Outbound;4.4.10 14:48;4.4.10 14:49;FL;Customer 654;iPhone;Product Assistance;David
Case 792;Call Outbound;20.3.10 12:01;20.3.10 12:09;FL;Customer 667;MacBook Pro;Product Assistance;Samuil
Case 792;Call Outbound;22.3.10 13:25;22.3.10 13:58;FL;Customer 667;MacBook Pro;Product Assistance;Samuil
Case 792;Call Outbound;27.3.10 7:40;27.3.10 7:54;FL;Customer 667;MacBook Pro;Product Assistance;Samuil
Case 797;Call Outbound;12.3.10 12:03;12.3.10 12:05;FL;Customer 671;iPhone;Product Assistance;Samuil
Case 797;Call Outbound;13.3.10 14:07;13.3.10 14:07;FL;Customer 671;iPhone;Product Assistance;Samuil
Case 806;Call Outbound;18.3.10 11:31;18.3.10 11:32;FL;Customer 678;MacBook Pro;Product Assistance;Samuil
Case 821;Call Outbound;17.4.10 16:20;17.4.10 16:22;FL;Customer 692;iPhone;Referred to Servicer;Karen
Case 821;Call Outbound;18.4.10 15:10;18.4.10 15:12;FL;Customer 692;iPhone;Referred to Servicer;Karen
Case 824;Call Outbound;5.3.10 11:57;5.3.10 11:58;FL;Customer 694;MacBook Pro;Referred to Servicer;Mary
Case 828;Call Outbound;28.3.10 7:04;28.3.10 7:06;FL;Customer 697;iPhone;Product Assistance;Samuil
Case 828;Call Outbound;28.3.10 7:10;28.3.10 7:10;FL;Customer 697;iPhone;Product Assistance;Samuil
Case 834;Call Outbound;11.3.10 14:28;11.3.10 14:29;FL;Customer 703;iPhone;Product Assistance;Mary
Case 849;Call Outbound;29.3.10 12:53;29.3.10 12:54;FL;Customer 718;iPhone;Product Assistance;Richard
Case 853;Call Outbound;12.3.10 11:56;12.3.10 11:58;FL;Customer 722;MacBook Pro;Product Assistance;Michael
Case 854;Call Outbound;19.3.10 14:53;19.3.10 14:55;FL;Customer 723;MacBook Pro;Product Assistance;Jochem
Case 854;Call Outbound;20.3.10 14:36;20.3.10 14:41;FL;Customer 723;MacBook Pro;Product Assistance;Jochem
Case 875;Call Outbound;17.4.10 14:13;17.4.10 14:14;FL;Customer 741;MacBook Pro;Referred to Servicer;Karen
Case 875;Call Outbound;18.4.10 12:54;18.4.10 12:57;FL;Customer 741;MacBook Pro;Referred to Servicer;Karen
Case 875;Call Outbound;23.4.10 15:58;23.4.10 16:01;FL;Customer 741;MacBook Pro;Referred to Servicer;Karen
Case 875;Call Outbound;24.4.10 11:49;24.4.10 11:50;FL;Customer 741;MacBook Pro;Referred to Servicer;Karen
Case 896;Call Outbound;8.4.10 14:30;8.4.10 14:32;FL;Customer 757;MacBook Pro;Product Assistance;Karen
Case 900;Call Outbound;14.3.10 12:17;14.3.10 12:19;FL;Customer 761;iPhone;Product Assistance;Nancy
Case 900;Call Outbound;15.3.10 13:35;15.3.10 13:37;FL;Customer 761;iPhone;Product Assistance;Nancy
Case 900;Call Outbound;28.3.10 14:19;28.3.10 14:21;FL;Customer 761;iPhone;Product Assistance;Nancy
Case 932;Call Outbound;5.3.10 11:52;5.3.10 11:54;FL;Customer 786;MacBook Pro;Product Assistance;Jochem
Case 935;Call Outbound;8.3.10 11:21;8.3.10 11:22;FL;Customer 788;MacBook Pro;Product Assistance;Samuil
Case 935;Call Outbound;11.3.10 11:52;11.3.10 11:59;FL;Customer 788;MacBook Pro;Product Assistance;Samuil
Case 935;Call Outbound;11.3.10 12:01;11.3.10 12:01;FL;Customer 788;MacBook Pro;Product Assistance;Samuil
Case 937;Call Outbound;9.4.10 11:49;9.4.10 11:52;FL;Customer 790;MacBook Pro;Referred to Servicer;Karen
Case 937;Call Outbound;23.4.10 13:12;23.4.10 13:13;FL;Customer 790;MacBook Pro;Referred to Servicer;David
Case 944;Call Outbound;27.3.10 12:41;27.3.10 12:41;FL;Customer 796;iPhone;Referred to Servicer;Susi
Case 959;Call Outbound;24.4.10 10:15;24.4.10 10:34;FL;Customer 805;MacBook Pro;Referred to Servicer;Richard
Case 970;Call Outbound;11.3.10 9:18;11.3.10 9:23;FL;Customer 814;iPhone;Product Assistance;Samuil
Case 987;Call Outbound;19.3.10 12:01;19.3.10 12:03;FL;Customer 825;MacBook Pro;Referred to Servicer;Henk
Case 991;Call Outbound;12.3.10 11:54;12.3.10 11:55;FL;Customer 829;iPhone;Referred to Servicer;Wil
Case 1002;Call Outbound;6.3.10 13:20;6.3.10 13:22;FL;Customer 839;iPhone;Referred to Servicer;Jochem
Case 1003;Call Outbound;6.3.10 11:51;6.3.10 11:52;FL;Customer 840;iPhone;Referred to Servicer;Mary
Case 1004;Call Outbound;15.3.10 11:32;15.3.10 11:32;FL;Customer 841;MacBook Pro;Referred to Servicer;Henk
Case 1004;Call Outbound;15.3.10 11:44;15.3.10 11:45;FL;Customer 841;MacBook Pro;Referred to Servicer;Henk
Case 1023;Call Outbound;6.3.10 12:12;6.3.10 12:12;FL;Customer 856;iPhone;Referred to Servicer;Fred
Case 1023;Call Outbound;6.3.10 13:02;6.3.10 13:04;FL;Customer 856;iPhone;Referred to Servicer;Fred
Case 1031;Call Outbound;29.3.10 14:36;29.3.10 14:37;FL;Customer 863;iPhone;Product Assistance;Nancy
Case 1031;Call Outbound;1.4.10 14:39;1.4.10 14:47;FL;Customer 863;iPhone;Product Assistance;Nancy
Case 1035;Call Outbound;3.4.10 13:26;3.4.10 13:27;FL;Customer 865;iPhone;Product Assistance;Jochem
Case 1035;Call Outbound;3.4.10 14:51;3.4.10 14:57;FL;Customer 865;iPhone;Product Assistance;Jochem
Case 1048;Call Outbound;3.4.10 10:03;3.4.10 10:04;FL;Customer 877;iPhone;Product Assistance;Jochem
Case 1056;Call Outbound;5.3.10 13:11;5.3.10 13:13;FL;Customer 882;iPhone;Product Assistance;Samuil
Case 1064;Call Outbound;27.3.10 13:09;27.3.10 13:15;FL;Customer 889;iPhone;Referred to Servicer;Karen
Case 1069;Call Outbound;9.4.10 10:34;9.4.10 10:35;FL;Customer 894;MacBook Pro;Product Assistance;Karen
Case 1069;Call Outbound;11.4.10 11:45;11.4.10 11:47;FL;Customer 894;MacBook Pro;Product Assistance;Karen
Case 1069;Call Outbound;17.4.10 13:41;17.4.10 13:48;FL;Customer 894;MacBook Pro;Product Assistance;Karen
Case 1069;Call Outbound;18.4.10 12:07;18.4.10 12:08;FL;Customer 894;MacBook Pro;Product Assistance;Karen
Case 1069;Call Outbound;22.4.10 16:07;22.4.10 16:13;FL;Customer 894;MacBook Pro;Product Assistance;Karen
Case 1099;Call Outbound;8.3.10 11:45;8.3.10 11:48;FL;Customer 922;iPhone;Product Assistance;Samuil
Case 1105;Call Outbound;2.4.10 11:58;2.4.10 12:07;FL;Customer 928;MacBook Pro;Referred to Servicer;Irena
Case 1112;Call Outbound;6.3.10 15:50;6.3.10 15:50;FL;Customer 935;iPhone;Referred to Servicer;Mary
Case 1112;Call Outbound;20.3.10 9:07;20.3.10 9:08;FL;Customer 935;iPhone;Referred to Servicer;Samuil
Case 1112;Call Outbound;28.3.10 17:14;28.3.10 17:16;FL;Customer 935;iPhone;Referred to Servicer;Samuil
Case 1144;Call Outbound;19.3.10 15:11;19.3.10 15:13;FL;Customer 963;MacBook Pro;Product Assistance;Jochem
Case 1146;Call Outbound;22.3.10 12:45;22.3.10 12:46;FL;Customer 965;iPhone;Product Assistance;Michael
Case 1151;Call Outbound;16.4.10 13:38;16.4.10 13:41;FL;Customer 969;iPhone;Product Assistance;Karen
Case 1166;Call Outbound;26.3.10 10:27;26.3.10 10:28;FL;Customer 982;iPhone;Product Assistance;Susi
Case 1181;Call Outbound;8.3.10 11:33;8.3.10 11:33;FL;Customer 994;iPhone;Referred to Servicer;Mary
Case 1181;Call Outbound;8.3.10 11:35;8.3.10 11:35;FL;Customer 994;iPhone;Referred to Servicer;Mary
Case 1192;Call Outbound;15.3.10 10:38;15.3.10 10:39;FL;Customer 1004;MacBook Pro;Product Assistance;Samuil
Case 1210;Call Outbound;7.3.10 11:28;7.3.10 11:36;FL;Customer 1020;iPhone;Referred to Servicer;Samuil
Case 1219;Call Outbound;19.3.10 11:43;19.3.10 11:46;FL;Customer 1026;MacBook Pro;Product Assistance;Jochem
Case 1244;Call Outbound;1.4.10 14:52;1.4.10 14:58;FL;Customer 488;iPhone;Product Assistance;Jochem
Case 1244;Call Outbound;2.4.10 13:33;2.4.10 13:52;FL;Customer 488;iPhone;Product Assistance;Jochem
Case 1272;Call Outbound;26.3.10 13:54;26.3.10 13:54;FL;Customer 1066;iPhone;Product Assistance;Samuil
Case 1280;Call Outbound;15.3.10 8:17;15.3.10 8:17;FL;Customer 1074;iPhone;Product Assistance;Susi
Case 1284;Call Outbound;8.4.10 14:17;8.4.10 14:20;FL;Customer 1078;iPhone;Product Assistance;Karen
Case 1284;Call Outbound;15.4.10 11:12;15.4.10 11:15;FL;Customer 1078;iPhone;Product Assistance;Karen
Case 1305;Call Outbound;13.3.10 10:56;13.3.10 11:01;FL;Customer 1096;iPhone;Product Assistance;Samuil
Case 1317;Call Outbound;4.4.10 14:18;4.4.10 14:18;FL;Customer 1105;iPhone;Product Assistance;David
Case 1317;Call Outbound;5.4.10 8:28;5.4.10 8:28;FL;Customer 1105;iPhone;Product Assistance;David
Case 1317;Call Outbound;8.4.10 11:57;8.4.10 11:58;FL;Customer 1105;iPhone;Product Assistance;Karen
Case 1317;Call Outbound;11.4.10 10:27;11.4.10 10:30;FL;Customer 1105;iPhone;Product Assistance;Karen
Case 1317;Call Outbound;19.4.10 14:27;19.4.10 14:30;FL;Customer 1105;iPhone;Product Assistance;Karen
Case 1317;Call Outbound;22.4.10 14:46;22.4.10 14:48;FL;Customer 1105;iPhone;Product Assistance;Karen
Case 1334;Call Outbound;21.3.10 14:11;21.3.10 14:11;FL;Customer 1119;MacBook Pro;Referred to Servicer;Samuil
Case 1335;Call Outbound;13.3.10 11:39;13.3.10 11:39;FL;Customer 1120;MacBook Pro;Product Assistance;Anne
Case 1335;Call Outbound;13.3.10 12:30;13.3.10 12:33;FL;Customer 1120;MacBook Pro;Product Assistance;Anne
Case 1335;Call Outbound;13.3.10 12:47;13.3.10 12:47;FL;Customer 1120;MacBook Pro;Product Assistance;Anne
Case 1335;Call Outbound;25.3.10 14:12;25.3.10 14:12;FL;Customer 1120;MacBook Pro;Product Assistance;Anne
Case 1335;Call Outbound;25.3.10 14:40;25.3.10 14:42;FL;Customer 1120;MacBook Pro;Product Assistance;Anne
Case 1343;Call Outbound;27.3.10 11:38;27.3.10 11:39;FL;Customer 1127;MacBook Pro;Product Assistance;Jochem
Case 1354;Call Outbound;22.3.10 11:25;22.3.10 11:30;FL;Customer 1138;MacBook Pro;Referred to Servicer;Richard
Case 1354;Call Outbound;22.3.10 11:41;22.3.10 11:45;FL;Customer 1138;MacBook Pro;Referred to Servicer;Richard
Case 1354;Call Outbound;22.3.10 12:25;22.3.10 12:31;FL;Customer 1138;MacBook Pro;Referred to Servicer;Richard
Case 1364;Call Outbound;7.3.10 13:58;7.3.10 14:00;FL;Customer 1148;iPhone;Product Assistance;Mary
Case 1372;Call Outbound;18.3.10 12:20;18.3.10 12:25;FL;Customer 1153;iPhone;Referred to Servicer;Irena
Case 1373;Call Outbound;27.3.10 13:06;27.3.10 13:09;FL;Customer 1154;MacBook Pro;Product Assistance;Karen
Case 1373;Call Outbound;4.4.10 13:31;4.4.10 13:32;FL;Customer 1154;MacBook Pro;Product Assistance;David
Case 1376;Call Outbound;6.3.10 13:56;6.3.10 13:57;FL;Customer 1157;iPhone;Referred to Servicer;Clark
Case 1394;Call Outbound;12.3.10 12:05;12.3.10 12:08;FL;Customer 1171;iPhone;Referred to Servicer;Michael
Case 1398;Call Outbound;1.4.10 14:58;1.4.10 15:01;FL;Customer 1175;MacBook Pro;Product Assistance;Christian
Case 1398;Call Outbound;24.4.10 14:16;24.4.10 14:16;FL;Customer 1175;MacBook Pro;Product Assistance;David
Case 1409;Call Outbound;11.3.10 12:07;11.3.10 12:08;FL;Customer 1182;iPhone;Product Assistance;Mary
Case 1416;Call Outbound;25.3.10 12:11;25.3.10 12:13;FL;Customer 1189;MacBook Pro;Referred to Servicer;Johan
